n,subjectCN_count,count
30139808016123849298636908297260172837678318637373736227042915792865471760717298895346765526096141879189307698409902833524649693991952173056300078814235355898087663033367943205538158036300789697836455508557297056837476564727710334612420491231295514055936351485160735543790031709509996313959359612460587826879840051392213910870142678124188868869804163438292103862102869435008125318116217842235839954468805153471815890872451926906393916298638461480310964707035893906677406183560171103300422205461208599502217622661915853149301656361081519025377053777349038373139917178199032654560208915324229508913323927468450284065081,3,3
27512948451614905480344359395178968256107458514262483339394592305767778301422898894058332682741142766563008229469529151151184830051921403600677983596708820101757236755404008469297839119296886130887555321236566628446259665626319845046333273293657439703546942610699125941368109904111544995916561761071991132331626217314970073312961351992762006723248396374007567868775994977579234720716190435144378796775992710949811388708659818291107474025338587060503719146550760408132159191802218907304287001325081884977818925428713673872824171785059037080364038036070549653507740961134130106279973276092744677103224431213805155831339,3,3
25087932710393018893352987637473438809781746268987461569246580178135040617237193649667703284615415351318104351825290613782033378041916747962113550575359966827958412942913463721077477590072239308405578787478540541718695947364932113823453869312633930886264110043916194926662510683611169870075850573217044967883913845798537353979656864084801033334522031756362547158823336296685368731028243121343145935014928505887714820162442665876334779343580008228126314453723892561994204598815712423222410663601716934268562914726904171866892069209653181523418034546478250355430385152961877939643805172440674249106362047204622533700573,3,3
782977009918065535473711622448530774498451829085156052098889832901527482842642196053695863848775731339592525966058277197434729909052301514347731159028192448451308211141250138840881864803102287217742757973071985380099440919864336233601427070433225684455168510979411717695160968724446339624645456140115045872421574399120235654854983791157228545855062075820265056146829634663436266541854486715582036683790847691367709713491376005679037965024753792016911814649723147040644001737195892698154864087864666186323606169517018133149973464685419416802984347883975591297216794262987720404067205695122360416298955814361659776521916096583025664069804815407098551021464932209028974153163090473714239910587389438240322261589983229396701636363226588584617787144313049057069518046677837287569007056181320884044564379807721903162988820473595162556705126244186338264900937871541224220999637155333646516702349784564636521745963178929776098148392397716666893265767544894468333885732162979913943034465154336057402358557175162457711538489898084943916117005759474711546615204148867317902354107366834694170132814558284784474542448369103888420329355709478111939196529773189714457332204641927750790887526736387677350482207165206087744950629163515494482920903371,3,3
931110924954315927675491980561361908390132221069804383735067838650362419310780953970145972264086493034799620137139697600781132451105759633253692075379065220245108409834284299249534856301180496224303625225122108499457105464294799979608876571879141732117072122535712193446644625159403397711006143459196951986087083872272703291236402190070680939899988232922941026101451560629845902891094166621219800284723896388797257866265528952842135902852478765119473599058917447710058757493615873827348949015056815416740341391330939685911090132705961267002348487779325576170012559323948299964594982039093303528212292724436066437735549167350528171502609649003350775682084875276836606328095970010164425575337144373967873860391534967239480150803498428948222243042104718236598088576830587350432797659610285689079239835176507054421730131883776947298029397174022146579770646137412152214024721784450925156416932327821944108831409490629632909129774469353121558218367274672372147778632840375735069280242682510494016576952476986185647515523329662091815487200768901002479407546856574508287373875095642659997030046704893911874445201199587418777566064000535841391292304584384725207896543038595506600834194478035977994346681652231413509623275579005410811783770631,3,3
752774901911689563499687090362200234758037101685232769495520341471424526435952881194416028444646818172297612143205073608842967374897547859974921787369049413085182336951974856760029619550465031999560076414076449533088842723516321056036792766702009011722108818866915587980791411451765655363287061625370298455714045951221828801101560075786348317302224126269361711094206161904617636830496826388327339990195099052324730960290223975800141587241077675640821697339662125478679918178521170747107641951754452346366400630989520101046811781240578195873257574212643247914704532464322358832491209997595104737170243418375720459718122632995961028430574466921423779493136365480912950841524373962133399024968342184652710405297483892571768464627754230526897517211417840174211286656325521971319613310328553462719715556859301043621810029181158938838273728535802814651017363649787936587973878503204202055686051105222731437126029572222419917393633699485386900787737515223858686460394472491671612183259561142484621767592247273594759435218149230276765611619131074123102450539293786937004912279712549070482951535744787033968733833026907251018444445892922513065941201912150699357303473813649428687095395899961116603378658586033013625764368438723962258703409197,3,3
812251429338368658322707003391664514278722062699485476428811874008703397429260352854299596802323105545389505432098582538638382132700091625886450442399112925580687689674660531174958315749474703373954904219347940447036458287405749634818615171316151603621459867770840105612864528113197312973104470262585910409924572470047978405099800921482944389012960030457783481365255644156763186984600576561021835752487895532925246292984742105548418654383241260572340544854896169330069121585347441393864491687955040527067504184687655901646935711611949256444166861765805404240790706216098560605015097027309455500491856782784620312268578834729933897344717881797800279922759313603389748955521762525962351002113820357097200906461078217719346597592721905910432933374945582102563769168312194368973265769488742352468486805646799942418538226476039224254361769159692581251212518175779021043778775876218196505588253083085261855278696514334393652329513636328245386907183418304143856944355734065884023709242855147106711152302924762936547467876488851603909377030642989028891233922920453667752336661994003087048349490169824969243005742905155361341483806216409478792734723206104771292458775231444591243363952268395893314467886451813996558826112940660804818784128787,3,3
25366724153924159988159870736816545395939292612650344982837078192442094739684671863771775247508497902464641710320630269072791637976223734599114925597804321372562205324089671739514107773395993765959887401983856141420276831762539192847906603988660129254412499471728632773461299618739077444690749831980586848683974784889479529000468974809393813944992455482979464285320822850017347134652295256119604191600272113092107013443570787127662148016228218945791316275105584782002409052531926913014102425426620193231078472399021264715401264300978857226906287463120846896284744976491443600213327765331889931254339572709969966014357,3,3
759247422786524401817178298282811707653419288230072970208560461323557008672516207253690143746299517469363984571826428275305788622415123063402629701214170128511047141352544778931739656990012171948370788341383883166764792626255466995480255237269296388591564188570708814550560030571643302571394527425342120075635097367746033565423521674108978637549642396723074472684422391207828023035507713217299111262597695702366855407198287704822693551656773171268904822205883267179596460025254019168348261300035273542595386998023440862338330200233070506755033712705929647174302121212608789865593910470565747310524286992118766176689726450385100462571646093816799796020576420960785568172804667659609195573641885892490987210225215645317790085242783280929031866791921780145512045594824621663758393711238829344846418086617473209216121155588064370668915572866887594915617277685028651863081822575383999135877562424133034106790673293400275022700555243379657827534320407109506803844488539044888168183507731812195262968122412083312885151826008002246589026540758532623355270650513393951215383939080384342895591428063768569534419962446793339958842398535284922630973314002880119818420884412288935888956676225557281507899476330563809586313352018559923853205962353,3,3
25900396345325057706095132573874469543244318905662360618177066528937099005599388160857246423690512323439215373297663515587760872560978002796348528600917098975539909497271137226475743708654380893375306184653665510065897391523044523791218065519302460303905945088594558631614411145621058227806481832793818704168121553730679257807769378916559201331354357940285409776895771308482390960650188496639810001090152887839645269818829406498008531566851270636879337517022850239468789808976827641435440185142770420585548275667624157864438149180339681635025957326757244360123914372280284718067584709981195345431932855608667217756571,3,3
